topic_id,pmi,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10
5,407.921,3,3,3,3,3,3,3,3,3,2
13,379.856,3,2,1,3,2,1,3,2,3,2
7,374.554,3,2,3,3,3,2,3,3,3,3
4,334.163,3,2,1,3,3,2,3,3,3,2
16,325.864,2,2,2,3,3,3,3,2,3,2
17,316.665,3,2,1,3,2,2,3,3,3,2
1,315.932,3,2,1,3,1,3,3,3,2,2
14,310.064,3,3,2,3,2,3,3,3,3,3
19,305.623,3,3,1,2,3,1,3,3,3,3
15,303.910,1,3,1,1,1,1,2,1,2,2
12,303.409,3,2,2,2,2,2,3,3,3,2
18,301.018,3,2,1,2,1,1,2,2,3,2
2,293.842,3,2,1,3,3,2,3,3,3,2
6,268.467,2,3,2,2,1,1,3,2,3,2
9,262.206,1,2,1,1,1,1,1,1,1,1
8,252.903,2,2,1,1,3,1,3,1,2,2
11,235.819,3,3,2,2,2,2,2,2,2,3
3,233.826,2,3,2,1,1,1,2,1,2,1
0,208.086,2,2,1,1,3,1,2,1,1,2
10,184.353,1,2,1,1,2,1,1,1,2,2
